
台灣,#genre#
TVBS News 新聞台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tvbs_n
TVBS 歡樂台 （備份）,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tvbshuanle_twn
TVBS HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tvbs
中天新聞 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ctinews
中天娛樂 CTI Entertaiment,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ctient
中天綜合 CTI Metro,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ctizhonghe
中天亞洲台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ctiasia_twn
台視 TTV HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ttv_taiwan
台視新聞台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ttvnews_twn
台視綜合台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ttvzhonghe_twn
中視 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=zhongshihd_twn
中視新聞台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=zhongshinews_twn
民視 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ftvhd_taiwan
民視新聞台 FTV News,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ftvnew_taiwan
民視臺灣台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ftvtaiwan_twn
華視 CTS HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ctshd_twn
公視 CTV,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=ctv_taiwan
八大第一 GTV First,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=badafirst
八大綜合 GTV Metro,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=badazhonghe
八大戲劇 GTV Drama,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=badadrama
八大娛樂 GTV Entertainment,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=badaentertain
HBO_HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=hbohd_twn
HBO_HITS,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=hbohits_twn
Hollywood Movies,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=hollywoodmovies_twn
三立臺灣 Sanli Taiwan,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=sanlitaiwan
三立戲劇台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=sanlixiju_twn
三立綜合 Sanli Metro,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=sanlizhonghe
三立都會台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=sanlidouhui
