
台灣,#genre#
TVBS News 新聞台,http://192.168.0.114:6789/Smartv1.php?id=tvbs_n
TVBS 歡樂台 （備份）,http://192.168.0.114:6789/Smartv1.php?id=tvbshuanle_twn
TVBS HD,http://192.168.0.114:6789/Smartv1.php?id=tvbs
中天新聞 HD,http://192.168.0.114:6789/Smartv1.php?id=ctinews
中天娛樂 CTI Entertaiment,http://192.168.0.114:6789/Smartv1.php?id=ctient
中天綜合 CTI Metro,http://192.168.0.114:6789/Smartv1.php?id=ctizhonghe
中天亞洲台,http://192.168.0.114:6789/Smartv1.php?id=ctiasia_twn
台視 TTV HD,http://192.168.0.114:6789/Smartv1.php?id=ttv_taiwan
台視新聞台,http://192.168.0.114:6789/Smartv1.php?id=ttvnews_twn
台視綜合台,http://192.168.0.114:6789/Smartv1.php?id=ttvzhonghe_twn
中視 HD,http://192.168.0.114:6789/Smartv1.php?id=zhongshihd_twn
中視新聞台,http://192.168.0.114:6789/Smartv1.php?id=zhongshinews_twn
民視 HD,http://192.168.0.114:6789/Smartv1.php?id=ftvhd_taiwan
民視新聞台 FTV News,http://192.168.0.114:6789/Smartv1.php?id=ftvnew_taiwan
民視臺灣台,http://192.168.0.114:6789/Smartv1.php?id=ftvtaiwan_twn
華視 CTS HD,http://192.168.0.114:6789/Smartv1.php?id=ctshd_twn
公視 CTV,http://192.168.0.114:6789/Smartv1.php?id=ctv_taiwan
八大第一 GTV First,http://192.168.0.114:6789/Smartv1.php?id=badafirst
八大綜合 GTV Metro,http://192.168.0.114:6789/Smartv1.php?id=badazhonghe
八大戲劇 GTV Drama,http://192.168.0.114:6789/Smartv1.php?id=badadrama
八大娛樂 GTV Entertainment,http://192.168.0.114:6789/Smartv1.php?id=badaentertain
HBO_HD,http://192.168.0.114:6789/Smartv1.php?id=hbohd_twn
HBO_HITS,http://192.168.0.114:6789/Smartv1.php?id=hbohits_twn
Hollywood Movies,http://192.168.0.114:6789/Smartv1.php?id=hollywoodmovies_twn
三立臺灣 Sanli Taiwan,http://192.168.0.114:6789/Smartv1.php?id=sanlitaiwan
三立戲劇台,http://192.168.0.114:6789/Smartv1.php?id=sanlixiju_twn
三立綜合 Sanli Metro,http://192.168.0.114:6789/Smartv1.php?id=sanlizhonghe
三立都會台,http://192.168.0.114:6789/Smartv1.php?id=sanlidouhui
東森新聞 ETTV News,http://192.168.0.114:6789/Smartv1.php?id=ettvnews
CINEMAX,http://192.168.0.114:6789/Smartv1.php?id=cinemax_twn
東森綜合 ETTV Metro,http://192.168.0.114:6789/Smartv1.php?id=ettvzhonghe
東森戲劇 ETTV Drama,http://192.168.0.114:6789/Smartv1.php?id=ettvdrama
東森超視,http://192.168.0.114:6789/Smartv1.php?id=ettvsuper
東森財經新聞 ETTV Business,http://192.168.0.114:6789/Smartv1.php?id=ettvcaijing_twn
寰宇財經,http://192.168.0.114:6789/Smartv1.php?id=huanyutaiwan_twn
寰宇新聞台,http://192.168.0.114:6789/Smartv1.php?id=huanyuxinwen_twn
大愛1台,http://192.168.0.114:6789/Smartv1.php?id=daai_twn
非凡新聞台,http://192.168.0.114:6789/Smartv1.php?id=feifannews_twn
龍華戲劇 Lunghua Drama,http://192.168.0.114:6789/Smartv1.php?id=lunghuaxiju_twn
龍華戲劇台,http://192.168.0.114:6789/Smartv1.php?id=lunghuaxiju_twn
龍華經典台,http://192.168.0.114:6789/Smartv1.php?id=lunghuajingdian_twn
龍華偶像,http://192.168.0.114:6789/Smartv1.php?id=lunghuaidol_twn
AXN Taiwan,http://192.168.0.114:6789/Smartv1.php?id=axn_twn
靖天國際台,http://192.168.0.114:6789/Smartv1.php?id=jingtianintl_twn
年代新聞,http://192.168.0.114:6789/Smartv1.php?id=niandainews_twn
緯來電影台,http://192.168.0.114:6789/Smartv1.php?id=videolandmovie_twn
緯來體育台,http://192.168.0.114:6789/Smartv1.php?id=videolandsport
緯來育樂,http://192.168.0.114:6789/Smartv1.php?id=videolandyule
緯來精彩,http://192.168.0.114:6789/Smartv1.php?id=videolandspecial_twn
大愛2台,http://192.168.0.114:6789/Smartv1.php?id=catchplay_twn
亞洲美食,http://192.168.0.114:6789/Smartv1.php?id=afc_twn
美食星球,http://192.168.0.114:6789/Smartv1.php?id=foodplanet_twn
亞洲旅遊 TLC Asia,http://192.168.0.114:6789/Smartv1.php?id=tlc_twn
東森電影 ETTV Movie,http://192.168.0.114:6789/Smartv1.php?id=ettvmovie
阿裡郎 Arirang,http://192.168.0.114:6789/Smartv1.php?id=arirang_twn
博斯運動 1,http://192.168.0.114:6789/Smartv1.php?id=bosisport1_twn
博斯運動 2,http://192.168.0.114:6789/Smartv1.php?id=bosisport2_twn
博斯高球2 HD,http://192.168.0.114:6789/Smartv1.php?id=bosigolf2_twn
博斯網球 HD,http://192.168.0.114:6789/Smartv1.php?id=bositennis_twn
東森洋片 ETTV Western,http://192.168.0.114:6789/Smartv1.php?id=ettvwestern
龍華洋片 Lunghua Western,http://192.168.0.114:6789/Smartv1.php?id=lunghuawestern_twn
博斯無限,http://192.168.0.114:6789/Smartv1.php?id=bosiunlimited_twn
MTV Live,http://192.168.0.114:6789/Smartv1.php?id=mtvhd_twn
龍詳時代,http://192.168.0.114:6789/Smartv1.php?id=lungxiangtime_twn
EYETV 旅遊,http://192.168.0.114:6789/Smartv1.php?id=eyetvtravel_twn
靖天卡通台,http://192.168.0.114:6789/Smartv1.php?id=jingtiancartoon_twn
EYETV 戲劇,http://192.168.0.114:6789/Smartv1.php?id=eyetvxiju_twn
衛視中文台 Star Movies Chinese,http://192.168.0.114:6789/Smartv1.php?id=weishichinese_twn
東森幼幼 Yoyo TV,http://192.168.0.114:6789/Smartv1.php?id=yoyo_twn
衛視電影台,http://192.168.0.114:6789/Smartv1.php?id=weishimovie_twn
美亞電影,http://192.168.0.114:6789/Smartv1.php?id=meiyamovie_twn
愛爾達影劇台,http://192.168.0.114:6789/Smartv1.php?id=eltayingju_twn
愛爾達綜合台,http://192.168.0.114:6789/Smartv1.php?id=eltazonghe_twn
星衛電影,http://192.168.0.114:6789/Smartv1.php?id=xingwei_movie
愛爾達影劇,http://192.168.0.114:6789/Smartv1.php?id=eltayingju_twn
愛爾達體育1台,http://192.168.0.114:6789/Smartv1.php?id=eltasport_twn
愛爾達體育2台,http://192.168.0.114:6789/Smartv1.php?id=eltasport2_twn
愛爾達體育3台,http://192.168.0.114:6789/Smartv1.php?id=eltasport3_twn
AFC 亞洲旅遊台,http://192.168.0.114:6789/Smartv1.php?id=asiatravel_twn

香港,#genre#
翡翠台,http://192.168.0.114:6789/Smartv1.php?id=jade_twn
iNews 新聞台,http://192.168.0.114:6789/Smartv1.php?id=inews_twn
J 2,http://192.168.0.114:6789/Smartv1.php?id=j2_twn
J2 備用,http://192.168.0.114:6789/Smartv1.php?id=j2_hkdavid
珍珠台,http://192.168.0.114:6789/Smartv1.php?id=pearl_twn
珍珠台  備用,http://192.168.0.114:6789/Smartv1.php?id=pearl_hkdavid
鳳凰香港,http://192.168.0.114:6789/Smartv1.php?id=hkphoenix_twn
無線財經資訊台,http://192.168.0.114:6789/Smartv1.php?id=tvbcaijing_twn
TVB 星河,http://192.168.0.114:6789/Smartv1.php?id=tvbxinhe_twn
RHK 31,http://192.168.0.114:6789/Smartv1.php?id=rhk31_twn
VIUTV1,http://192.168.0.114:6789/Smartv1.php?id=viu1_twn
RHK 32,http://192.168.0.114:6789/Smartv1.php?id=rhk32_twn
鳳凰衛視,http://192.168.0.114:6789/Smartv1.php?id=phoenixtv_hd
鳳凰資訊,http://192.168.0.114:6789/Smartv1.php?id=phoenixinfo_hd
Viu6,http://192.168.0.114:6789/Smartv1.php?id=viusix_twn
Viu TV 69,http://192.168.0.114:6789/Smartv1.php?id=viutv69_hkdavid
翡翠台 backup,http://192.168.0.114:6789/Smartv1.php?id=jade_mike
Tvbmagic,http://192.168.0.114:6789/Smartv1.php?id=Tvbmagic
中國,#genre#
CCTV-1 綜合 HD,http://192.168.0.114:6789/Smartv1.php?id=cctv1
CCTV-2 財經,http://192.168.0.114:6789/Smartv1.php?id=cctv2
CCTV-3 綜藝 HD,http://192.168.0.114:6789/Smartv1.php?id=cctv3
CCTV-4 中文國際,http://192.168.0.114:6789/Smartv1.php?id=cctv4
CCTV4 新聞台,http://192.168.0.114:6789/Smartv1.php?id=Cctv4
CCTV-7 軍事農業,http://192.168.0.114:6789/Smartv1.php?id=cctv7
CCTV-8 電視劇 HD,http://192.168.0.114:6789/Smartv1.php?id=cctv8hd
CCTV-9 記錄 HD,http://192.168.0.114:6789/Smartv1.php?id=cctv9hd
CCTV-10 科教 HD,http://192.168.0.114:6789/Smartv1.php?id=cctv10hd
CCTV-11 戲曲,http://192.168.0.114:6789/Smartv1.php?id=cctv11
CCTV-12 社會與法,http://192.168.0.114:6789/Smartv1.php?id=cctv12
CCTV-13 新聞頻道,http://192.168.0.114:6789/Smartv1.php?id=cctv13
CCTV-14 少兒,http://192.168.0.114:6789/Smartv1.php?id=cctv14
CCTV-6,http://192.168.0.114:6789/Smartv1.php?id=cctv6
CCTV-15 音樂,http://192.168.0.114:6789/Smartv1.php?id=cctv15
湖南衛視 Hunan,http://192.168.0.114:6789/Smartv1.php?id=Hunan
湖南衛視 （備份）,http://192.168.0.114:6789/Smartv1.php?id=hunan_twn
浙江衛視 Zhejiang,http://192.168.0.114:6789/Smartv1.php?id=Zhejiang
浙江衛視 （備用）,http://192.168.0.114:6789/Smartv1.php?id=zhejiang_twn
江蘇衛視 Jiangsu,http://192.168.0.114:6789/Smartv1.php?id=Jiangsu
江蘇衛視 （備份）,http://192.168.0.114:6789/Smartv1.php?id=jiangsu_twn
深圳衛視,http://192.168.0.114:6789/Smartv1.php?id=shenzhen
福建東南衛視,http://192.168.0.114:6789/Smartv1.php?id=fujian
廣東南方衛視,http://192.168.0.114:6789/Smartv1.php?id=nanfang_twn
廣東衛視,http://192.168.0.114:6789/Smartv1.php?id=guangdongweishi_twn
北京衛視,http://192.168.0.114:6789/Smartv1.php?id=beijing
珠江台,http://192.168.0.114:6789/Smartv1.php?id=zhujiang
廣西衛視,http://192.168.0.114:6789/Smartv1.php?id=guangxi
湖北衛視,http://192.168.0.114:6789/Smartv1.php?id=hubei
四川衛視,http://192.168.0.114:6789/Smartv1.php?id=sichuan_twn
鳳凰衛視,http://192.168.0.114:6789/Smartv1.php?id=phoenixtv_hd
東方衛視,http://192.168.0.114:6789/Smartv1.php?id=dongfangweishi_twn
CGTN,http://192.168.0.114:6789/Smartv1.php?id=CGTN
CCTV-5 體育頻道,http://192.168.0.114:6789/Smartv1.php?id=cctv5
CCTV-5+ 體育賽事 HD,http://192.168.0.114:6789/Smartv1.php?id=cctv5plus
CCTV-17,http://192.168.0.114:6789/Smartv1.php?id=cctv17
鳳凰資訊,http://192.168.0.114:6789/Smartv1.php?id=phoenixinfo_hd

電影頻道,#genre#
HBO_HD,http://192.168.0.114:6789/Smartv1.php?id=hbohd_twn
HBO_HITS,http://192.168.0.114:6789/Smartv1.php?id=hbohits_twn
Hollywood Movies,http://192.168.0.114:6789/Smartv1.php?id=hollywoodmovies_twn
CCTV-6,http://192.168.0.114:6789/Smartv1.php?id=cctv6
CINEMAX,http://192.168.0.114:6789/Smartv1.php?id=cinemax_twn
Cinemax,http://192.168.0.114:6789/Smartv1.php?id=Cinemax
AXN Taiwan,http://192.168.0.114:6789/Smartv1.php?id=axn_twn
大愛2台,http://192.168.0.114:6789/Smartv1.php?id=catchplay_twn
東森電影 ETTV Movie,http://192.168.0.114:6789/Smartv1.php?id=ettvmovie
東森洋片 ETTV Western,http://192.168.0.114:6789/Smartv1.php?id=ettvwestern
龍華洋片 Lunghua Western,http://192.168.0.114:6789/Smartv1.php?id=lunghuawestern_twn
龍詳時代,http://192.168.0.114:6789/Smartv1.php?id=lungxiangtime_twn
Animax,http://192.168.0.114:6789/Smartv1.php?id=Animax
Movies Now HD,http://192.168.0.114:6789/Smartv1.php?id=moviesnow_raj
Star Movies HD,http://192.168.0.114:6789/Smartv1.php?id=starmovies_raj
衛視中文台 Star Movies Chinese,http://192.168.0.114:6789/Smartv1.php?id=weishichinese_twn
HBO Family,http://192.168.0.114:6789/Smartv1.php?id=Hbofamily
HBO Hits HD,http://192.168.0.114:6789/Smartv1.php?id=Hbohits
HBO HD,http://192.168.0.114:6789/Smartv1.php?id=Hbo
衛視電影台,http://192.168.0.114:6789/Smartv1.php?id=weishimovie_twn
HBO Signature,http://192.168.0.114:6789/Smartv1.php?id=Hbosignature
Hits,http://192.168.0.114:6789/Smartv1.php?id=Hits
Warner TV,http://192.168.0.114:6789/Smartv1.php?id=WarnerTV
美亞電影,http://192.168.0.114:6789/Smartv1.php?id=meiyamovie_twn
星衛電影,http://192.168.0.114:6789/Smartv1.php?id=xingwei_movie
SCM,http://192.168.0.114:6789/Smartv1.php?id=Weishimovie
Thrill,http://192.168.0.114:6789/Smartv1.php?id=Thrill
One,http://192.168.0.114:6789/Smartv1.php?id=One_mega
Hits Movie,http://192.168.0.114:6789/Smartv1.php?id=Hitsmovie
tvN Movie,http://192.168.0.114:6789/Smartv1.php?id=Tvnmovie
Celestial Classic,http://192.168.0.114:6789/Smartv1.php?id=Celestial2
Sony Pix HD,http://192.168.0.114:6789/Smartv1.php?id=sonypix_mega
Celestial Movies HD,http://192.168.0.114:6789/Smartv1.php?id=Celestialindo
Axn HD,http://192.168.0.114:6789/Smartv1.php?id=Axn
Paramount Network,http://192.168.0.114:6789/Smartv1.php?id=Paramountnetwork
Astrol Kplus,http://192.168.0.114:6789/Smartv1.php?id=Kplus
Rock Actions,http://192.168.0.114:6789/Smartv1.php?id=Rockaction
Rock Entertainment,http://192.168.0.114:6789/Smartv1.php?id=Rockentertain

新聞頻道,#genre#
Skynews,http://192.168.0.114:6789/Smartv1.php?id=skynews_antik
ABC News,http://192.168.0.114:6789/Smartv1.php?id=abcnews_glo
東森財經新聞 ETTV Business,http://192.168.0.114:6789/Smartv1.php?id=ettvcaijing_twn
CBS HD,http://192.168.0.114:6789/Smartv1.php?id=cbshd_glo
CBSN HD,http://192.168.0.114:6789/Smartv1.php?id=cbsn_glo
France 24,http://192.168.0.114:6789/Smartv1.php?id=france24_twn
DW (Deutsch),http://192.168.0.114:6789/Smartv1.php?id=dw_twn
NHK World,http://192.168.0.114:6789/Smartv1.php?id=nhkworld_japan
Fox News,http://192.168.0.114:6789/Smartv1.php?id=foxnews_twn
CGTN,http://192.168.0.114:6789/Smartv1.php?id=CGTN
CNN International,http://192.168.0.114:6789/Smartv1.php?id=Cnn
CNN backup,http://192.168.0.114:6789/Smartv1.php?id=cnn_twn
CNBC,http://192.168.0.114:6789/Smartv1.php?id=cnbc_twn
CNA,http://192.168.0.114:6789/Smartv1.php?id=cna
BBC World News,http://192.168.0.114:6789/Smartv1.php?id=bbcnews_twn
BBC World News,http://192.168.0.114:6789/Smartv1.php?id=Bbcnews
