🇨🇳央视频道,#genre#
CCTV1 综合,http://192.168.2.114:50001/6000000001000029752/wasusyt/index.m3u8$8M1080_华数
CCTV1 综合,http://192.168.2.114:50001/1000000001000018602/ystenlive/index.m3u8$8M1080_易视腾
CCTV1 综合,http://192.168.2.114:50001/5000000004000002226/bestzb/index.m3u8$7.5M1080_百视通
CCTV1 综合,http://192.168.2.114:50001/1000000005000265001/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV1 综合,http://192.168.2.114:50001/5000000010000030810/bestzb/index.m3u8$4M1080_百视通
CCTV1 综合,http://192.168.2.114:50001/1000000001000021973/ystenlive/index.m3u8$4M1080_易视腾
CCTV2 财经,http://192.168.2.114:50001/6000000001000014161/wasusyt/index.m3u8$8M1080_华数
CCTV2 财经,http://192.168.2.114:50001/1000000001000023315/ystenlive/index.m3u8$8M1080_易视腾
CCTV2 财经,http://192.168.2.114:50001/5000000011000031101/bestzb/index.m3u8$6.8M1080_百视通
CCTV2 财经,http://192.168.2.114:50001/1000000005000265002/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV2 财经,http://192.168.2.114:50001/1000000001000012442/ystenlive/index.m3u8$4M1080_易视腾
CCTV3 综艺,http://192.168.2.114:50001/6000000001000022313/wasusyt/index.m3u8$8M1080_华数
CCTV3 综艺,http://192.168.2.114:50001/1000000001000013682/ystenlive/index.m3u8$8M1080_易视腾
CCTV3 综艺,http://192.168.2.114:50001/5000000004000008883/bestzb/index.m3u8$6.8M1080_百视通
CCTV3 综艺,http://192.168.2.114:50001/1000000005000265003/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV3 综艺,http://192.168.2.114:50001/5000000002000020548/bestzb/index.m3u8$4M1080_百视通
CCTV3 综艺,http://192.168.2.114:50001/1000000001000011218/ystenlive/index.m3u8$4M1080_易视腾
CCTV4 中文国际,http://192.168.2.114:50001/5000000011000031102/bestzb/index.m3u8$6.8M1080_百视通
CCTV4 中文国际,http://192.168.2.114:50001/1000000005000265004/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV4 中文国际,http://192.168.2.114:50001/1000000002000031664/ystenlive/index.m3u8$4M1080_易视腾
CCTV4 中文国际,http://192.168.2.114:50001/5000000005000030093/bestzb/index.m3u8$4M720_百视通
CCTV5 体育,http://192.168.2.114:50001/1000000005000025222/ystenlive/index.m3u8$12M1080_易视腾
CCTV5 体育,http://192.168.2.114:50001/6000000001000016431/wasusyt/index.m3u8$8M1080_华数
CCTV5 体育,http://192.168.2.114:50001/1000000003000030177/ystenlive/index.m3u8$8M1080_易视腾
