香港,#genre#
香港|翡翠台,http://192.168.2.114:6789/smart2.php?id=jade_twn
香港|翡翠台 backup,http://192.168.2.114:6789/smart2.php?id=Jade_xue
香港|iNews 新闻台,http://192.168.2.114:6789/smart2.php?id=inews_twn
香港|J 2,http://192.168.2.114:6789/smart2.php?id=j2_twn
香港|珍珠台,http://192.168.2.114:6789/smart2.php?id=pearl_twn
香港|凤凰香港,http://192.168.2.114:6789/smart2.php?id=hkphoenix_twn
香港|HOY资讯台,http://192.168.2.114:6789/smart2.php?id=hoycaijing_twn
香港|RHK 31,http://192.168.2.114:6789/smart2.php?id=rhk31_twn
香港|VIUTV1,http://192.168.2.114:6789/smart2.php?id=viu1_twn
香港|RHK 32,http://192.168.2.114:6789/smart2.php?id=rhk32_twn
香港|凤凰卫视,http://192.168.2.114:6789/smart2.php?id=phoenixtv_hd
香港|凤凰资讯,http://192.168.2.114:6789/smart2.php?id=phoenixinfo_hd
香港|Viu6,http://192.168.2.114:6789/smart2.php?id=viusix_twn
中国,#genre#
中国|CCTV-1 综合 HD,http://192.168.2.114:6789/smart2.php?id=cctv1
中国|CCTV-2 财经,http://192.168.2.114:6789/smart2.php?id=cctv2
中国|CCTV-3 综艺 HD,http://192.168.2.114:6789/smart2.php?id=cctv3
中国|CCTV-4 中文国际,http://192.168.2.114:6789/smart2.php?id=cctv4
中国|CCTV4 新闻台,http://192.168.2.114:6789/smart2.php?id=Cctv4
中国|CCTV-7 军事农业,http://192.168.2.114:6789/smart2.php?id=cctv7
中国|CCTV-8 电视剧 HD,http://192.168.2.114:6789/smart2.php?id=cctv8hd
中国|CCTV-9 记录 HD,http://192.168.2.114:6789/smart2.php?id=cctv9hd
中国|CCTV-10 科教 HD,http://192.168.2.114:6789/smart2.php?id=cctv10hd
中国|CCTV-11 戏曲,http://192.168.2.114:6789/smart2.php?id=cctv11
中国|CCTV-12 社会与法,http://192.168.2.114:6789/smart2.php?id=cctv12
中国|CCTV-13 新闻频道,http://192.168.2.114:6789/smart2.php?id=cctv13
中国|CCTV-14 少儿,http://192.168.2.114:6789/smart2.php?id=cctv14
中国|CCTV-6,http://192.168.2.114:6789/smart2.php?id=cctv6
中国|CCTV-15 音乐,http://192.168.2.114:6789/smart2.php?id=cctv15
中国|湖南卫视,http://192.168.2.114:6789/smart2.php?id=hunan_twn
中国|浙江卫视,http://192.168.2.114:6789/smart2.php?id=zhejiang_twn
中国|江苏卫视,http://192.168.2.114:6789/smart2.php?id=jiangsu_twn
中国|深圳卫视,http://192.168.2.114:6789/smart2.php?id=shenzhen
中国|福建东南卫视,http://192.168.2.114:6789/smart2.php?id=fujian
中国|广东南方卫视,http://192.168.2.114:6789/smart2.php?id=nanfang_twn
中国|广东卫视,http://192.168.2.114:6789/smart2.php?id=guangdongweishi_twn
中国|北京卫视,http://192.168.2.114:6789/smart2.php?id=beijing
中国|珠江台,http://192.168.2.114:6789/smart2.php?id=zhujiang
中国|广西卫视,http://192.168.2.114:6789/smart2.php?id=guangxi
中国|湖北卫视,http://192.168.2.114:6789/smart2.php?id=hubei
中国|四川卫视,http://192.168.2.114:6789/smart2.php?id=sichuan_twn
中国|东方卫视,http://192.168.2.114:6789/smart2.php?id=dongfangweishi_twn
中国|CGTN,http://192.168.2.114:6789/smart2.php?id=CGTN
中国|凤凰卫视,http://192.168.2.114:6789/smart2.php?id=phoenixtv_hd
中国|凤凰资讯,http://192.168.2.114:6789/smart2.php?id=phoenixinfo_hd
中国|CCTV-5 体育频道,http://192.168.2.114:6789/smart2.php?id=cctv5
中国|CCTV-5+ 体育赛事 HD,http://192.168.2.114:6789/smart2.php?id=cctv5plus
体育,#genre#
体育频道|Astro Premier League 1,http://192.168.2.114:6789/smart2.php?id=go_assp1
体育频道|Astro EPL 1 backup,http://192.168.2.114:6789/smart2.php?id=go_assp1x
体育频道|Astro Premier League 2,http://192.168.2.114:6789/smart2.php?id=go_assp2
